Player,Pos,Age,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Charles Bassey,PF,21,23,0,7.3,1.3,2,0.638,0,0.2,0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3,2674742
Charles Bassey,PF,21,23,0,7.3,1.3,2,0.638,0,0.2,0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3,2674742
Chimezie Metu,C,24,60,20,21.3,3.4,7.5,0.452,1,3.1,0.306,2.4,4.4,0.555,0.516,1.2,1.5,0.78,0.6,5,5.6,1,0.9,0.5,1,1.6,8.9,1910860
Chris Boucher,PF,29,80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,12690000
Chris Duarte,SG,24,55,39,28,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2,0.804,0.7,3.4,4.1,2.1,1,0.2,1.6,1.7,13.1,3936960
Chris Paul,PG,36,65,65,32.9,5.6,11.3,0.493,1,3.1,0.317,4.6,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4,4.4,10.8,1.9,0.3,2.4,2.1,14.7,28400000
Christian Wood,C,26,68,67,30.8,6.5,12.9,0.501,1.9,4.9,0.39,4.5,8,0.57,0.576,3,4.9,0.623,1.6,8.5,10.1,2.3,0.8,1,1.9,2.5,17.9,14317459
Chuma Okeke,PF,23,70,20,25,3.1,8.2,0.376,1.7,5.3,0.318,1.4,2.9,0.48,0.478,0.8,0.9,0.846,0.7,4.3,5,1.7,1.4,0.6,0.8,1.4,8.6,3433320
CJ McCollum,SG,30,62,62,34.6,8.6,18.8,0.46,2.9,7.6,0.388,5.7,11.2,0.509,0.539,1.9,2.7,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2,2,22.1,33333333
Clint Capela,C,27,74,73,27.6,5,8.2,0.613,0,0,0,5,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,18706896
Coby White,PG,21,61,17,27.5,4.6,10.6,0.433,2.2,5.8,0.385,2.3,4.8,0.491,0.539,1.3,1.5,0.857,0.3,2.7,3,2.9,0.5,0.2,1.1,2.2,12.7,7413955
Cody Martin,SF,26,71,11,26.3,2.9,6,0.482,0.9,2.2,0.384,2,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4,2.5,1.2,0.5,0.9,1.6,7.7,7e+06
Cody Zeller,C,29,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,517060
Cody Zeller,C,29,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,517060
Cole Anthony,PG,21,65,65,31.7,5.5,14,0.391,2,6,0.338,3.5,8,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,3613680
Collin Sexton,SG,23,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16,16500000
Corey Kispert,SF,22,77,36,23.4,3,6.7,0.455,1.5,4.2,0.35,1.6,2.5,0.629,0.564,0.7,0.8,0.871,0.7,2,2.7,1.1,0.5,0.3,0.6,1.2,8.2,3552840
Cory Joseph,PG,30,65,39,24.6,2.7,6.2,0.445,1,2.4,0.414,1.7,3.7,0.465,0.526,1.5,1.7,0.885,0.4,2.2,2.7,3.6,0.6,0.3,1.3,2.3,8,5155500
D'Angelo Russell,PG,25,65,65,32,6.2,15,0.411,2.7,8,0.34,3.5,7,0.492,0.502,3,3.7,0.825,0.4,2.9,3.3,7.1,1,0.3,2.5,2,18.1,31377750
